dnaA	Rv0001
echA11	Rv1141c
echA10	Rv1142c
mcr	Rv1143
Rv1144	Rv1144
Rv1145	Rv1145
Rv1146	Rv1146
Rv1147	Rv1147
Rv1148c	Rv1148c
Rv1149	Rv1149
Rv1150	pseudogene=unknown
Rv1151c	Rv1151c
Rv1152	Rv1152
omt	Rv1153c
Rv1154c	Rv1154c
Rv1155	Rv1155
Rv1155a	Rv1155a
Rv1156	Rv1156
Rv1157c	Rv1157c
mcr10	RVnc0012
Rv1158c	Rv1158c
pimE	Rv1159
Rv1159A	Rv1159A
mutT2	Rv1160
narG	Rv1161
narH	Rv1162
narJ	Rv1163
narI	Rv1164
typA	Rv1165
lpqW	Rv1166
Rv1167c	Rv1167c
PPE17	Rv1168c
lipX	Rv1169c
mshB	Rv1170
Rv1171	Rv1171
PE12	Rv1172c
fbiC	Rv1173
TB8.4	Rv1174c
fadH	Rv1175c
Rv1176c	Rv1176c
fdxC	Rv1177
Rv1178	Rv1178
Rv1179c	Rv1179c
pks3	Rv1180
pks4	Rv1181
papA3	Rv1182
mmpL10	Rv1183
Rv1184c	Rv1184c
fadD21	Rv1185c
Rv1186c	Rv1186c
rocA	Rv1187
Rv1188	Rv1188
sigI	Rv1189
Rv1190	Rv1190
Rv1191	Rv1191
Rv1192	Rv1192
fadD36	Rv1193
Rv1194c	Rv1194c
PE13	Rv1195
PPE18	Rv1196
esxK	Rv1197
esxL	Rv1198
Rv1199c	Rv1199c
Rv1200	Rv1200
dapD	Rv1201c
dapE	Rv1202
Rv1203c	Rv1203c
Rv1204c	Rv1204c
Rv1205	Rv1205
fadD6	Rv1206
folP2	Rv1207
gpgS	Rv1208
Rv1209	Rv1209
tagA	Rv1210
Rv1211	Rv1211
glgA	Rv1212c
glgC	Rv1213
PE14	Rv1214c
Rv1215c	Rv1215c
Rv1216c	Rv1216c
Rv1217c	Rv1217c
Rv1218c	Rv1218c
Rv1219c	Rv1219c
Rv1220c	Rv1220c
sigE	Rv1221
rseA	Rv1222
htrA	Rv1223
tatB	Rv1224
Rv1225c	Rv1225c
Rv1226c	Rv1226c
Rv1227c	Rv1227c
lpqX	Rv1228
Rv1228a	Rv1228a
mrp	Rv1229c
Rv1230c	Rv1230c
Rv1231c	Rv1231c
Rv1232c	Rv1232c
Rv1233c	Rv1233c
Rv1234	Rv1234
lpqY	Rv1235
sugA	Rv1236
sugB	Rv1237
sugC	Rv1238
corA	Rv1239c
mdh	Rv1240
vapB33	Rv1241
vapC33	Rv1242
PE_PGRS23	Rv1243c
lpqZ	Rv1244
Rv1245c	Rv1245c
relE	Rv1246c
relB	Rv1247c
Rv1248c	Rv1248c
Rv1249c	Rv1249c
Rv1250	Rv1250
Rv1251c	Rv1251c
lprE	Rv1252c
deaD	Rv1253
Rv1254	Rv1254
Rv1255c	Rv1255c
cyp130	Rv1256c
Rv1257c	Rv1257c
Rv1258c	Rv1258c
udgB	Rv1259
Rv1260	Rv1260
Rv1261c	Rv1261c
Rv1262c	Rv1262c
amiB2	Rv1263
Rv1264	Rv1264
mcr11	RVnc0013
Rv1265	Rv1265
pknH	Rv1266c
embR	Rv1267c
Rv1268c	Rv1268c
Rv1269c	Rv1269c
lprA	Rv1270c
Rv1271c	Rv1271c
Rv1272c	Rv1272c
Rv1273c	Rv1273c
lprB	Rv1274
lprC	Rv1275
Rv1276c	Rv1276c
Rv1277	Rv1277
Rv1278	Rv1278
Rv1279	Rv1279
oppA	Rv1280c
oppD	Rv1281c
oppC	Rv1282c
oppB	Rv1283c
canA	Rv1284
cysD	Rv1285
Rv1286	Rv1286
Rv1287	Rv1287
Rv1288	Rv1288
Rv1289	Rv1289
Rv1290c	Rv1290c
Rv1290A	Rv1290A
Rv1291c	Rv1291c
argV	Rvnt18
argS	Rv1292
lysA	Rv1293
thrA	Rv1294
thrC	Rv1295
thrB	Rv1296
rho	Rv1297
rpmE	Rv1298
prfA	Rv1299
hemK	Rv1300
Rv1301	Rv1301
rfe	Rv1302
Rv1303	Rv1303
atpB	Rv1304
atpE	Rv1305
atpF	Rv1306
atpH	Rv1307
atpA	Rv1308
atpG	Rv1309
atpD	Rv1310
atpC	Rv1311
Rv1312	Rv1312
Rv1313c	Rv1313c
Rv1314c	Rv1314c
murA	Rv1315
mcr3	RVnc0021
rrs	Rvnr01
rrl	Rvnr02
rrf	Rvnr03
ogt	Rv1316c
alkA	Rv1317c
Rv1318c	Rv1318c
Rv1319c	Rv1319c
Rv1320c	Rv1320c
Rv1321	Rv1321
Rv1322	Rv1322
Rv1322A	Rv1322A
fadA4	Rv1323
Rv1324	Rv1324
PE_PGRS24	Rv1325c
glgB	Rv1326c
glgE	Rv1327c
glgP	Rv1328
dinG	Rv1329c
pncB1	Rv1330c
Rv1331	Rv1331
Rv1332	Rv1332
Rv1333	Rv1333
mec	Rv1334
cysO	Rv1335
cysM	Rv1336
Rv1337	Rv1337
murI	Rv1338
Rv1339	Rv1339
rphA	Rv1340
Rv1341	Rv1341
Rv1342c	Rv1342c
lprD	Rv1343c
mbtL	Rv1344
mbtM	Rv1345
mbtN	Rv1346
mbtK	Rv1347c
leuW	Rvnt19
irtA	Rv1348
irtB	Rv1349
fabG2	Rv1350
Rv1351	Rv1351
Rv1352	Rv1352
Rv1353c	Rv1353c
Rv1354c	Rv1354c
moeY	Rv1355c
Rv1356c	Rv1356c
Rv1357c	Rv1357c
Rv1358	Rv1358
Rv1359	Rv1359
Rv1360	Rv1360
PPE19	Rv1361c
Rv1362c	Rv1362c
Rv1363c	Rv1363c
mcr15	RVnc0015
Rv1364c	Rv1364c
rsfA	Rv1365c
Rv1366	Rv1366
Rv1366A	Rv1366A
Rv1367c	Rv1367c
lprF	Rv1368
Rv1371	Rv1371
Rv1372	Rv1372
Rv1373	Rv1373
Rv1374c	Rv1374c
MTS1082	RVnc0035
Rv1375	Rv1375
Rv1376	Rv1376
Rv1377c	Rv1377c
Rv1378c	Rv1378c
pyrR	Rv1379
pyrB	Rv1380
pyrC	Rv1381
Rv1382	Rv1382
carA	Rv1383
carB	Rv1384
pyrF	Rv1385
PE15	Rv1386
PPE20	Rv1387
mihF	Rv1388
gmk	Rv1389
rpoZ	Rv1390
dfp	Rv1391
metK	Rv1392
Rv1393c	Rv1393c
cyp132	Rv1394c
Rv1395	Rv1395
PE_PGRS25	Rv1396c
vapC10	Rv1397c
vapB10	Rv1398c
nlhH	Rv1399c
lipI	Rv1400c
Rv1401	Rv1401
priA	Rv1402
Rv1403c	Rv1403c
Rv1404	Rv1404
Rv1405c	Rv1405c
fmt	Rv1406
fmu	Rv1407
rpe	Rv1408
ribG	Rv1409
P55	Rv1410c
lprG	Rv1411c
ribC	Rv1412
Rv1413	Rv1413
Rv1414	Rv1414
ribA2	Rv1415
ribH	Rv1416
Rv1417	Rv1417
lprH	Rv1418
Rv1419	Rv1419
uvrC	Rv1420
Rv1421	Rv1421
Rv1422	Rv1422
whiA	Rv1423
Rv1424c	Rv1424c
Rv1425	Rv1425
lipO	Rv1426c
fadD12	Rv1427c
Rv1428c	Rv1428c
Rv1429	Rv1429
PE16	Rv1430
Rv1431	Rv1431
Rv1432	Rv1432
Rv1433	Rv1433
Rv1434	Rv1434
Rv1435c	Rv1435c
gap	Rv1436
pgk	Rv1437
tpi	Rv1438
Rv1439c	Rv1439c
secG	Rv1440
PE_PGRS26	Rv1441c
bisC	Rv1442
Rv1443c	Rv1443c
Rv1444c	Rv1444c
devB	Rv1445c
opcA	Rv1446c
zwf2	Rv1447c
tal	Rv1448c
tkt	Rv1449c
PE_PGRS27	Rv1450c
Rv1451	Rv1451
PE_PGRS28	Rv1452c
Rv1453	Rv1453
qor	Rv1454c
Rv1455	Rv1455
Rv1456c	Rv1456c
Rv1457c	Rv1457c
Rv1458c	Rv1458c
Rv1459c	Rv1459c
Rv1460	Rv1460
Rv1461	Rv1461
Rv1462	Rv1462
Rv1463	Rv1463
csd	Rv1464
Rv1465	Rv1465
Rv1466	Rv1466
fadE15	Rv1467c
PE_PGRS29	Rv1468c
ctpD	Rv1469
trxA	Rv1470
trxB1	Rv1471
echA12	Rv1472
Rv1473	Rv1473
Rv1473A	Rv1473A
Rv1474c	Rv1474c
acn	Rv1475c
Rv1476	Rv1476
ripA	Rv1477
Rv1478	Rv1478
moxR1	Rv1479
Rv1480	Rv1480
Rv1481	Rv1481
Rv1482c	Rv1482c
fabG1	Rv1483
inhA	Rv1484
hemZ	Rv1485
Rv1486c	Rv1486c
Rv1487	Rv1487
Rv1488	Rv1488
Rv1489	Rv1489
Rv1489A	Rv1489A
Rv1490	Rv1490
Rv1491c	Rv1491c
mutA	Rv1492
mutB	Rv1493
mazE4	Rv1494
mazF4	Rv1495
Rv1496	Rv1496
lipL	Rv1497
Rv1498c	Rv1498c
Rv1498A	Rv1498A
Rv1499	Rv1499
Rv1500	Rv1500
Rv1501	Rv1501
Rv1502	Rv1502
Rv1503c	pseudogene=unknown
Rv1505c	Rv1505c
Rv1506c	Rv1506c
Rv1507c	Rv1507c
Rv1507A	Rv1507A
Rv1508c	Rv1508c
Rv1508A	Rv1508A
Rv1509	Rv1509
Rv1510	Rv1510
gmdA	Rv1511
epiA	Rv1512
Rv1513	Rv1513
Rv1514c	Rv1514c
Rv1515c	Rv1515c
Rv1516c	Rv1516c
Rv1517	Rv1517
Rv1518	Rv1518
Rv1519	Rv1519
Rv1520	Rv1520
fadD25	Rv1521
mmpL12	Rv1522c
Rv1523	Rv1523
Rv1524	Rv1524
wbbL2	Rv1525
Rv1526c	Rv1526c
pks5	Rv1527c
papA4	Rv1528c
fadD24	Rv1529
adh	Rv1530
Rv1531	Rv1531
Rv1532c	Rv1532c
Rv1533	Rv1533
Rv1534	Rv1534
Rv1535	Rv1535
ileS	Rv1536
dinX	Rv1537
ansA	Rv1538c
lspA	Rv1539
Rv1540	Rv1540
lprI	Rv1541c
glbN	Rv1542c
Rv1543	Rv1543
Rv1544	Rv1544
Rv1545	Rv1545
Rv1546	Rv1546
dnaE1	Rv1547
PPE21	Rv1548c
fadD11	Rv1550
plsB1	Rv1551
frdA	Rv1552
frdB	Rv1553
frdC	Rv1554
frdD	Rv1555
Rv1556	Rv1556
mmpL6	Rv1557
Rv1558	Rv1558
ilvA	Rv1559
vapB11	Rv1560
vapC11	Rv1561
treZ	Rv1562c
treY	Rv1563c
treX	Rv1564c
Rv1565c	Rv1565c
Rv1566c	Rv1566c
Rv1567c	Rv1567c
bioA	Rv1568
bioF1	Rv1569
bioD	Rv1570
Rv1571	Rv1571
Rv1573	Rv1573
Rv1574	Rv1574
Rv1575	Rv1575
Rv1576c	Rv1576c
Rv1577c	Rv1577c
Rv1578c	Rv1578c
Rv1579c	Rv1579c
Rv1580c	Rv1580c
Rv1581c	Rv1581c
Rv1582c	Rv1582c
Rv1583c	Rv1583c
Rv1584c	Rv1584c
Rv1585c	Rv1585c
Rv1586c	Rv1586c
Rv1587c	Rv1587c
Rv1588c	Rv1588c
bioB	Rv1589
Rv1590	Rv1590
Rv1591	Rv1591
Rv1592c	Rv1592c
Rv1593c	Rv1593c
nadA	Rv1594
nadB	Rv1595
nadC	Rv1596
Rv1597	Rv1597
Rv1598c	Rv1598c
hisD	Rv1599
hisC1	Rv1600
hisB	Rv1601
hisH	Rv1602
hisA	Rv1603
impA	Rv1604
hisF	Rv1605
hisI	Rv1606
chaA	Rv1607
bcpB	Rv1608c
trpE	Rv1609
Rv1610	Rv1610
trpC	Rv1611
trpB	Rv1612
trpA	Rv1613
lgt	Rv1614
Rv1615	Rv1615
Rv1616	Rv1616
pykA	Rv1617
tesB1	Rv1618
Rv1619	Rv1619
cydC	Rv1620c
cydD	Rv1621c
cydB	Rv1622c
cydA	Rv1623c
Rv1624c	Rv1624c
cya	Rv1625c
leuV	Rvnt20
Rv1626	Rv1626
Rv1627c	Rv1627c
Rv1628c	Rv1628c
polA	Rv1629
rpsA	Rv1630
coaE	Rv1631
Rv1632c	Rv1632c
uvrB	Rv1633
Rv1634	Rv1634
Rv1635c	Rv1635c
TB15.3	Rv1636
Rv1637c	Rv1637c
uvrA	Rv1638
Rv1638A	Rv1638A
Rv1639c	Rv1639c
lysX	Rv1640c
infC	Rv1641
rpmI	Rv1642
rplT	Rv1643
tsnR	Rv1644
Rv1645c	Rv1645c
PE17	Rv1646
Rv1647	Rv1647
Rv1648	Rv1648
pheS	Rv1649
pheT	Rv1650
PE_PGRS30	Rv1651c
argC	Rv1652
argJ	Rv1653
argB	Rv1654
argD	Rv1655
argF	Rv1656
argR	Rv1657
argG	Rv1658
argH	Rv1659
pks10	Rv1660
pks7	Rv1661
pks8	Rv1662
pks17	Rv1663
pks9	Rv1664
pks11	Rv1665
cyp139	Rv1666c
Rv1667c	pseudogene=unknown
Rv1669	Rv1669
Rv1670	Rv1670
Rv1671	Rv1671
Rv1672c	Rv1672c
Rv1673c	Rv1673c
Rv1674c	Rv1674c
cmr	Rv1675c
Rv1676	Rv1676
dsbF	Rv1677
Rv1678	Rv1678
fadE16	Rv1679
Rv1680	Rv1680
moeX	Rv1681
Rv1682	Rv1682
Rv1683	Rv1683
Rv1684	Rv1684
Rv1685c	Rv1685c
Rv1686c	Rv1686c
Rv1687c	Rv1687c
mpg	Rv1688
tyrS	Rv1689
G2	RVnc0010
lprJ	Rv1690
Rv1691	Rv1691
Rv1692	Rv1692
Rv1693	Rv1693
tlyA	Rv1694
ppnK	Rv1695
recN	Rv1696
Rv1697	Rv1697
mctB	Rv1698
pyrG	Rv1699
Rv1700	Rv1700
Rv1701	Rv1701
Rv1702c	Rv1702c
Rv1703c	Rv1703c
cycA	Rv1704c
PPE22	Rv1705c
PPE23	Rv1706c
Rv1706A	Rv1706A
Rv1707	Rv1707
Rv1708	Rv1708
scpA	Rv1709
scpB	Rv1710
Rv1711	Rv1711
cmk	Rv1712
engA	Rv1713
Rv1714	Rv1714
fadB3	Rv1715
Rv1716	Rv1716
Rv1717	Rv1717
Rv1718	Rv1718
Rv1719	Rv1719
proT	Rvnt21
vapC12	Rv1720c
vapB12	Rv1721c
Rv1722	Rv1722
Rv1723	Rv1723
Rv1724c	Rv1724c
Rv1725c	Rv1725c
Rv1726	Rv1726
AS1726	RVnc0047
Rv1727	Rv1727
Rv1728c	Rv1728c
Rv1729c	Rv1729c
Rv1730c	Rv1730c
gabD2	Rv1731
Rv1732c	Rv1732c
Rv1733c	Rv1733c
MTS1338	RVnc0036
Rv1734c	Rv1734c
Rv1735c	Rv1735c
Rv1735a	Rv1735a
narX	Rv1736c
narK2	Rv1737c
Rv1738	Rv1738
Rv1739c	Rv1739c
vapB34	Rv1740
vapC34	Rv1741
Rv1742	Rv1742
pknE	Rv1743
Rv1744c	Rv1744c
idi	Rv1745c
pknF	Rv1746
Rv1747	Rv1747
Rv1748	Rv1748
Rv1749c	Rv1749c
fadD1	Rv1750c
Rv1751	Rv1751
Rv1752	Rv1752
PPE24	Rv1753c
Rv1754c	Rv1754c
cut1	Rv1758
wag22	Rv1759c
Rv1760	Rv1760
Rv1761c	Rv1761c
Rv1762c	Rv1762c
Rv1765c	Rv1765c
Rv1766	Rv1766
Rv1767	Rv1767
PE_PGRS31	Rv1768
Rv1769	Rv1769
Rv1770	Rv1770
Rv1771	Rv1771
Rv1772	Rv1772
Rv1773c	Rv1773c
Rv1774	Rv1774
Rv1775	Rv1775
Rv1776c	Rv1776c
cyp144	Rv1777
Rv1778c	Rv1778c
Rv1779c	Rv1779c
Rv1780	Rv1780
malQ	Rv1781c
eccB5	Rv1782
eccC5	Rv1783
cyp143	Rv1785c
Rv1786	Rv1786
PPE25	Rv1787
PE18	Rv1788
PPE26	Rv1789
PPE27	Rv1790
PE19	Rv1791
esxM	pseudogene=unknown
esxN	Rv1793
Rv1794	Rv1794
eccD5	Rv1795
mycP5	Rv1796
eccE5	Rv1797
eccA5	Rv1798
lppT	Rv1799
PPE28	Rv1800
PPE29	Rv1801
PPE30	Rv1802
PE_PGRS32	Rv1803c
Rv1804c	Rv1804c
Rv1805c	Rv1805c
PE20	Rv1806
PPE32	Rv1808
PPE33	Rv1809
Rv1810	Rv1810
mgtC	Rv1811
Rv1812c	Rv1812c
Rv1813c	Rv1813c
erg3	Rv1814
Rv1815	Rv1815
Rv1816	Rv1816
Rv1817	Rv1817
PE_PGRS33	Rv1818c
bacA	Rv1819c
ilvG	Rv1820
secA2	Rv1821
pgsA2	Rv1822
Rv1823	Rv1823
Rv1824	Rv1824
Rv1825	Rv1825
gcvH	Rv1826
garA	Rv1827
Rv1828	Rv1828
Rv1829	Rv1829
Rv1830	Rv1830
Rv1831	Rv1831
gcvB	Rv1832
Rv1833c	Rv1833c
lipZ	Rv1834
Rv1835c	Rv1835c
Rv1836c	Rv1836c
glcB	Rv1837c
vapC13	Rv1838c
vapB13	Rv1839c
PE_PGRS34	Rv1840c
Rv1841c	Rv1841c
Rv1842c	Rv1842c
guaB1	Rv1843c
gnd1	Rv1844c
blaR	Rv1845c
blaI	Rv1846c
Rv1847	Rv1847
ureA	Rv1848
ureB	Rv1849
ureC	Rv1850
ureF	Rv1851
ureG	Rv1852
ureD	Rv1853
ndh	Rv1854c
Rv1855c	Rv1855c
Rv1856c	Rv1856c
modA	Rv1857
modB	Rv1858
modC	Rv1859
apa	Rv1860
Rv1861	Rv1861
adhA	Rv1862
Rv1863c	Rv1863c
Rv1864c	Rv1864c
Rv1865c	Rv1865c
Rv1866	Rv1866
Rv1867	Rv1867
Rv1868	Rv1868
Rv1869c	Rv1869c
Rv1870c	Rv1870c
Rv1871c	Rv1871c
lldD2	Rv1872c
Rv1873	Rv1873
Rv1874	Rv1874
Rv1875	Rv1875
bfrA	Rv1876
Rv1877	Rv1877
glnA3	Rv1878
Rv1879	Rv1879
cyp140	Rv1880c
lppE	Rv1881c
Rv1882c	Rv1882c
Rv1883c	Rv1883c
rpfC	Rv1884c
*MtCM	Rv1885c
fbpB	Rv1886c
Rv1887	Rv1887
Rv1887a	pseudogene=unknown
Rv1888A	pseudogene=unknown
Rv1890c	Rv1890c
AS1890	RVnc0001
Rv1891	Rv1891
Rv1892	Rv1892
Rv1893	Rv1893
Rv1894c	Rv1894c
Rv1895	Rv1895
Rv1896c	Rv1896c
Rv1897c	Rv1897c
Rv1898	Rv1898
lppD	Rv1899c
lipJ	Rv1900c
cinA	Rv1901
nanT	Rv1902c
Rv1903	Rv1903
Rv1904	Rv1904
aao	Rv1905c
Rv1906c	Rv1906c
Rv1907c	Rv1907c
katG	Rv1908c
furA	Rv1909c
Rv1910c	Rv1910c
lppC	Rv1911c
fadB5	Rv1912c
Rv1913	Rv1913
Rv1914c	Rv1914c
aceAa	Rv1915
aceAb	Rv1916
PPE34	Rv1917c
PPE35	Rv1918c
Rv1919c	Rv1919c
Rv1920	Rv1920
lppF	Rv1921c
Rv1922	Rv1922
lipD	Rv1923
Rv1924c	Rv1924c
fadD31	Rv1925
mpt63	Rv1926c
Rv1927	Rv1927
Rv1928c	Rv1928c
Rv1929c	Rv1929c
Rv1930c	Rv1930c
Rv1931c	Rv1931c
tpx	Rv1932
fadE18	Rv1933c
fadE17	Rv1934c
echA13	Rv1935c
Rv1936	Rv1936
Rv1937	Rv1937
ephB	Rv1938
Rv1939	Rv1939
ribA1	Rv1940
Rv1941	Rv1941
mazF5	Rv1942c
mazE5	Rv1943c
Rv1944c	Rv1944c
Rv1945	Rv1945
lppG	Rv1946c
Rv1947	Rv1947
Rv1948c	Rv1948c
Rv1950c	Rv1950c
Rv1951c	Rv1951c
vapB14	Rv1952
vapC14	Rv1953
Rv1954c	Rv1954c
higB	Rv1955
higA	Rv1956
Rv1957	Rv1957
Rv1958c	Rv1958c
parE1	Rv1959c
parD1	Rv1960c
Rv1961	Rv1961
vapC35	Rv1962c
vapB35	Rv1962A
mce3R	Rv1963c
yrbE3A	Rv1964
yrbE3B	Rv1965
mce3A	Rv1966
mce3B	Rv1967
mce3C	Rv1968
mce3D	Rv1969
lprM	Rv1970
mce3F	Rv1971
Rv1972	Rv1972
Rv1973	Rv1973
Rv1974	Rv1974
Rv1975	Rv1975
Rv1976c	Rv1976c
Rv1977	Rv1977
Rv1978	Rv1978
Rv1979c	Rv1979c
mpt64	Rv1980c
nrdF1	Rv1981c
vapC36	Rv1982c
vapB36	Rv1982A
PE_PGRS35	Rv1983
cfp21	Rv1984c
RV1984a	RV1984a
Rv1985c	Rv1985c
Rv1986	Rv1986
Rv1987	Rv1987
erm(37)	Rv1988
Rv1989c	Rv1989c
Rv1990c	Rv1990c
mazF6	Rv1991c
mazE6	Rv1991A
ctpG	Rv1992c
Rv1993c	Rv1993c
cmtR	Rv1994c
Rv1995	Rv1995
Rv1996	Rv1996
ctpF	Rv1997
Rv1998c	Rv1998c
Rv1999c	Rv1999c
Rv2000	Rv2000
Rv2001	Rv2001
fabG3	Rv2002
Rv2003c	Rv2003c
Rv2004c	Rv2004c
Rv2005c	Rv2005c
otsB1	Rv2006
fdxA	Rv2007c
Rv2008c	Rv2008c
vapB15	Rv2009
vapC15	Rv2010
Rv2011c	Rv2011c
Rv2012	Rv2012
Rv2015c	Rv2015c
Rv2016	Rv2016
Rv2017	Rv2017
Rv2018	Rv2018
Rv2019	Rv2019
Rv2021c	Rv2021c
Rv2022c	Rv2022c
Rv2023c	Rv2023c
Rv2023A	pseudogene=unknown
Rv2024c	Rv2024c
Rv2025c	Rv2025c
Rv2026c	Rv2026c
dosT	Rv2027c
Rv2028c	Rv2028c
pfkB	Rv2029c
Rv2030c	Rv2030c
hspX	Rv2031c
acg	Rv2032
Rv2033c	Rv2033c
Rv2034	Rv2034
Rv2035	Rv2035
Rv2036	Rv2036
Rv2037c	Rv2037c
Rv2038c	Rv2038c
Rv2039c	Rv2039c
Rv2040c	Rv2040c
Rv2041c	Rv2041c
Rv2042c	Rv2042c
pncA	Rv2043c
Rv2044c	Rv2044c
lipT	Rv2045c
lppI	Rv2046
Rv2047c	Rv2047c
pks12	Rv2048c
ASpks	RVnc0003
Rv2049c	Rv2049c
Rv2050	Rv2050
ppm1	Rv2051c
Rv2052c	Rv2052c
fxsA	Rv2053c
Rv2054	Rv2054
rpsR2	Rv2055c
rpsN2	Rv2056c
rpmG1	Rv2057c
rpmB2	Rv2058c
Rv2059	Rv2059
Rv2060	Rv2060
Rv2061c	Rv2061c
cobN	Rv2062c
mazE7	Rv2063
mazF7	Rv2063A
cobG	Rv2064
cobH	Rv2065
cobIJ	Rv2066
Rv2067c	Rv2067c
blaC	Rv2068c
sigC	Rv2069
cobK	Rv2070c
cobM	Rv2071c
cobL	Rv2072c
Rv2073c	Rv2073c
Rv2074	Rv2074
Rv2075c	Rv2075c
Rv2076c	Rv2076c
Rv2077c	Rv2077c
Rv2077A	Rv2077A
Rv2078	Rv2078
Rv2079	Rv2079
lppJ	Rv2080
Rv2081c	Rv2081c
Rv2082	Rv2082
Rv2083	Rv2083
Rv2084	Rv2084
Rv2085	Rv2085
Rv2086	Rv2086
pknJ	Rv2088
pepE	Rv2089c
Rv2090	Rv2090
Rv2091c	Rv2091c
helY	Rv2092c
tatC	Rv2093c
tatA	Rv2094c
pafC	Rv2095c
pafB	Rv2096c
pafA	Rv2097c
PE_PGRS36	pseudogene=unknown
PE21	pseudogene=unknown
Rv2100	Rv2100
helZ	Rv2101
Rv2102	Rv2102
vapC37	Rv2103c
vapB37	Rv2104c
Rv2104a	Rv2104a
PE22	Rv2107
PPE36	Rv2108
prcA	Rv2109c
prcB	Rv2110c
pup	Rv2111c
dop	Rv2112c
Rv2113	Rv2113
Rv2114	Rv2114
mpa	Rv2115c
lppK	Rv2116
Rv2117	Rv2117
Rv2118c	Rv2118c
Rv2119	Rv2119
Rv2120c	Rv2120c
hisG	Rv2121c
hisE	Rv2122c
PPE37	Rv2123
metH	Rv2124c
Rv2125	Rv2125
PE_PGRS37	Rv2126c
ansP1	Rv2127
Rv2128	Rv2128
Rv2129c	Rv2129c
mshC	Rv2130c
cysQ	Rv2131c
Rv2132	Rv2132
Rv2133c	Rv2133c
Rv2134c	Rv2134c
Rv2135c	Rv2135c
Rv2136c	Rv2136c
Rv2137c	Rv2137c
lppL	Rv2138
pyrD	Rv2139
TB18.6	Rv2140c
Rv2141c	Rv2141c
leuU	Rvnt22
parE2	Rv2142c
parD2	Rv2142A
Rv2143	Rv2143
Rv2144c	Rv2144c
wag31	Rv2145c
Rv2146c	Rv2146c
Rv2147c	Rv2147c
Rv2148c	Rv2148c
yfiH	Rv2149c
ftsZ	Rv2150c
ftsQ	Rv2151c
murC	Rv2152c
murG	Rv2153c
ftsW	Rv2154c
murD	Rv2155c
murX	Rv2156c
murF	Rv2157c
murE	Rv2158c
Rv2159c	Rv2159c
Rv2160c	pseudogene=unknown
Rv2161c	Rv2161c
PE_PGRS38	Rv2162c
pbpB	Rv2163c
Rv2164c	Rv2164c
Rv2165c	Rv2165c
Rv2166c	Rv2166c
Rv2169c	Rv2169c
Rv2170	Rv2170
lppM	Rv2171
Rv2172c	Rv2172c
idsA2	Rv2173
mptA	Rv2174
Rv2175c	Rv2175c
pknL	Rv2176
Rv2177c	Rv2177c
aroG	Rv2178c
Rv2179c	Rv2179c
Rv2180c	Rv2180c
Rv2181	Rv2181
Rv2182c	Rv2182c
Rv2183c	Rv2183c
Rv2184c	Rv2184c
TB16.3	Rv2185c
Rv2186c	Rv2186c
fadD15	Rv2187
pimB	Rv2188c
Rv2189c	Rv2189c
Rv2190c	Rv2190c
Rv2191	Rv2191
trpD	Rv2192c
ctaE	Rv2193
qcrC	Rv2194
qcrA	Rv2195
qcrB	Rv2196
Rv2197c	Rv2197c
mmpS3	Rv2198c
Rv2199c	Rv2199c
ctaC	Rv2200c
asnB	Rv2201
adoK	Rv2202c
Rv2203	Rv2203
Rv2204c	Rv2204c
Rv2205c	Rv2205c
Rv2206	Rv2206
cobT	Rv2207
cobS	Rv2208
Rv2209	Rv2209
ilvE	Rv2210c
gcvT	Rv2211c
Rv2212	Rv2212
pepB	Rv2213
ephD	Rv2214c
dlaT	Rv2215
Rv2216	Rv2216
lipB	Rv2217
lipA	Rv2218
Rv2219	Rv2219
Rv2219A	Rv2219A
glnA1	Rv2220
glnE	Rv2221c
glnA2	Rv2222c
Rv2223c	Rv2223c
caeA	Rv2224c
Rv2224d	Rv2224d
panB	Rv2225
Rv2226	Rv2226
rnpB	Rvns01
Rv2227	Rv2227
Rv2228c	Rv2228c
Rv2229c	Rv2229c
Rv2230c	Rv2230c
cobC	Rv2231c
vapC16	Rv2231A
vapB16	Rv2231B
ptkA	Rv2232
ptpA	Rv2234
Rv2235	Rv2235
cobD	Rv2236c
Rv2237	Rv2237
Rv2237A	Rv2237A
valV	Rvnt23
ahpE	Rv2238c
Rv2239c	Rv2239c
Rv2240c	Rv2240c
aceE	Rv2241
Rv2242	Rv2242
fabD	Rv2243
mcr16	RVnc0018
acpM	Rv2244
kasA	Rv2245
kasB	Rv2246
accD6	Rv2247
Rv2248	Rv2248
glpD1	Rv2249c
Rv2250c	Rv2250c
Rv2251	Rv2251
Rv2252	Rv2252
Rv2253	Rv2253
Rv2254c	Rv2254c
Rv2256a	Rv2256a
Rv2256c	Rv2256c
Rv2257c	Rv2257c
Rv2258c	Rv2258c
mscR	Rv2259
Rv2260	Rv2260
Rv2261c	pseudogene=unknown
Rv2263	Rv2263
Rv2264c	Rv2264c
Rv2265	Rv2265
cyp124	Rv2266
Rv2267c	Rv2267c
cyp128	Rv2268c
Rv2269c	Rv2269c
lppN	Rv2270
Rv2271	Rv2271
Rv2272	Rv2272
Rv2273	Rv2273
mazF8	Rv2274c
mazE8	Rv2274A
Rv2275	Rv2275
cyp121	Rv2276
Rv2277c	Rv2277c
Rv2280	Rv2280
pitB	Rv2281
Rv2282c	Rv2282c
Rv2283	Rv2283
