dnaA	Rv0001
Rv0257	Rv0257
Rv0258c	Rv0258c
Rv0259c	Rv0259c
Rv0260c	Rv0260c
narK3	Rv0261c
aac	Rv0262c
Rv0263c	Rv0263c
Rv0264c	Rv0264c
fecB2	Rv0265c
oplA	Rv0266c
narU	Rv0267
Rv0268c	Rv0268c
Rv0269c	Rv0269c
fadD2	Rv0270
fadE6	Rv0271c
Rv0272c	Rv0272c
Rv0273c	Rv0273c
Rv0274	Rv0274
Rv0275c	Rv0275c
Rv0276	Rv0276
vapC25	Rv0277c
vapB25	pseudogene=unknown
Rv0278c	Rv0278c
PE_PGRS4	Rv0279c
PPE3	Rv0280
Rv0281	Rv0281
eccA3	Rv0282
eccB3	Rv0283
eccC3	Rv0284
PE5	Rv0285
PPE4	Rv0286
esxG	Rv0287
esxH	Rv0288
espG3	Rv0289
eccD3	Rv0290
mycP3	Rv0291
eccE3	Rv0292
Rv0293c	Rv0293c
tam	Rv0294
Rv0295c	Rv0295c
atsG	Rv0296c
PE_PGRS5	Rv0297
Rv0298	Rv0298
Rv0299	Rv0299
vapB2	Rv0300
vapC2	Rv0301
Rv0302	Rv0302
Rv0303	Rv0303
PPE5	Rv0304c
PPE6	Rv0305c
Rv0306	Rv0306
Rv0307c	Rv0307c
Rv0308	Rv0308
Rv0309	Rv0309
Rv0310c	Rv0310c
Rv0311	Rv0311
Rv0312	Rv0312
Rv0313	Rv0313
Rv0314c	Rv0314c
Rv0315	Rv0315
Rv0316	Rv0316
glpQ2	Rv0317c
glyU	Rvnt04
Rv0318c	Rv0318c
pcp	Rv0319
Rv0320	Rv0320
dcd	Rv0321
udgA	Rv0322
Rv0323c	Rv0323c
Rv0324	Rv0324
Rv0325	Rv0325
Rv0326	Rv0326
cyp135A1	Rv0327c
Rv0328	Rv0328
Rv0329c	Rv0329c
Rv0330c	Rv0330c
Rv0331	Rv0331
Rv0332	Rv0332
Rv0333	Rv0333
rmlA	Rv0334
PE6	Rv0335c
Rv0336	Rv0336
aspC	Rv0337c
Rv0338c	Rv0338c
Rv0339c	Rv0339c
Rv0340	Rv0340
iniB	Rv0341
iniA	Rv0342
iniC	Rv0343
lpqJ	Rv0344c
Rv0345	Rv0345
ansP2	Rv0346c
Rv0347	Rv0347
Rv0348	Rv0348
Rv0349	Rv0349
dnaK	Rv0350
grpE	Rv0351
dnaJ1	Rv0352
hspR	Rv0353
PPE7	Rv0354c
PPE8	Rv0355c
Rv0356c	Rv0356c
purA	Rv0357c
Rv0358	Rv0358
