INH	random	0.000258134774127	3.77067126046e-05	-2.62573224904
STR	random	0.000237322894924	3.58889500087e-05	-2.62136475041
EMB	random	0.000202102070799	3.72871487915e-05	-2.60681243493
K	random	3.43781215352e-05	3.41720747026e-05	-0.0628960966451
CAP	random	0.000119077139598	3.71270554955e-05	-2.47840967737
PZA	random	0.000150328791787	3.64325095603e-05	-2.51775979932
OFL	random	0.000128255626047	3.6285491267e-05	-2.42575380664
MOX	random	0.000133256930623	3.61651397883e-05	-2.50375827047
AMI	random	9.70432686401e-05	3.72027373182e-05	-2.25206256993
Et	random	3.20277657703e-05	3.00391136473e-05	-0.473929336816
PRO	random	0.000125639255731	3.41098394518e-05	-2.41751637244
RIF	random	0.000239531345223	3.53892356693e-05	-2.64147076626
